
Image Name                     PID Session Name        Session#    Mem Usage
cmd.exe                      14748 RDP-Tcp#0                  3      5,196 K
adb.exe                      11116 RDP-Tcp#0                  3     11,956 K
chrome.exe                   35012 RDP-Tcp#1                  2     16,972 K
conhost.exe                    548 RDP-Tcp#0                  3      8,660 K
powershell.exe               29896 RDP-Tcp#0                  3     90,872 K
adb.exe                      33980 RDP-Tcp#0                  3     11,984 K
adb.exe                      34260 RDP-Tcp#0                  3     11,972 K
adb.exe                      27132 RDP-Tcp#0                  3     11,988 K
adb.exe                      24252 RDP-Tcp#0                  3     11,984 K
adb.exe                      31576 RDP-Tcp#0                  3     11,988 K
conhost.exe                  36660 RDP-Tcp#0                  3      8,668 K
node.exe                     32444 RDP-Tcp#0                  3     49,904 K
adb.exe                      34308 RDP-Tcp#0                  3     11,952 K
adb.exe                      38596 RDP-Tcp#0                  3     11,980 K
adb.exe                      13456 RDP-Tcp#0                  3     11,980 K
smartscreen.exe              12468 RDP-Tcp#1                  2     12,820 K
adb.exe                      26292 RDP-Tcp#0                  3     11,984 K
adb.exe                      17080 RDP-Tcp#0                  3     11,972 K
adb.exe                      10408 RDP-Tcp#0                  3     12,012 K
adb.exe                      11708 RDP-Tcp#0                  3     12,020 K
adb.exe                      30172 RDP-Tcp#0                  3     12,064 K
adb.exe                       2916 RDP-Tcp#0                  3     12,020 K
adb.exe                      33892 RDP-Tcp#0                  3     12,068 K
adb.exe                       5636 RDP-Tcp#0                  3     12,064 K
adb.exe                      29396 RDP-Tcp#0                  3     12,060 K
adb.exe                      38784 RDP-Tcp#0                  3     12,020 K
svchost.exe                  15748 Services                   0     33,356 K
adb.exe                      14532 RDP-Tcp#0                  3     12,020 K
adb.exe                      37248 RDP-Tcp#0                  3     12,068 K
adb.exe                      30108 RDP-Tcp#0                  3     12,016 K
adb.exe                      31040 RDP-Tcp#0                  3     11,996 K
svchost.exe                  13044 Services                   0     53,692 K
svchost.exe                  35436 Services                   0     88,428 K
svchost.exe                  37296 Services                   0     11,452 K
adb.exe                      12228 RDP-Tcp#0                  3     11,992 K
adb.exe                      33224 RDP-Tcp#0                  3     11,992 K
adb.exe                      12752 RDP-Tcp#0                  3     11,992 K
chrome.exe                    6752 RDP-Tcp#1                  2     31,164 K
adb.exe                      15384 RDP-Tcp#0                  3     11,992 K
conhost.exe                  36676 RDP-Tcp#0                  3      8,640 K
powershell.exe               20748 RDP-Tcp#0                  3     91,428 K
adb.exe                      36420 RDP-Tcp#0                  3     11,992 K
svchost.exe                  29964 Services                   0     22,992 K
conhost.exe                  37164 RDP-Tcp#0                  3      8,640 K
powershell.exe               17196 RDP-Tcp#0                  3     91,208 K
adb.exe                      32172 RDP-Tcp#0                  3     11,964 K
adb.exe                      32336 RDP-Tcp#0                  3     11,988 K
conhost.exe                  34468 RDP-Tcp#0                  3      8,656 K
powershell.exe               24008 RDP-Tcp#0                  3     91,700 K
adb.exe                      32500 RDP-Tcp#0                  3     11,928 K
adb.exe                      35280 RDP-Tcp#0                  3     11,988 K
svchost.exe                  19496 Services                   0      8,788 K
adb.exe                      35612 RDP-Tcp#0                  3     11,996 K
conhost.exe                  26244 RDP-Tcp#0                  3      8,624 K
powershell.exe               38316 RDP-Tcp#0                  3     91,472 K
cmd.exe                      36480 RDP-Tcp#0                  3      6,976 K
node.exe                     35736 RDP-Tcp#0                  3     58,828 K
cmd.exe                      30384 RDP-Tcp#0                  3      5,184 K
node.exe                     31556 RDP-Tcp#0                  3     49,948 K
adb.exe                      13832 RDP-Tcp#0                  3     11,968 K
adb.exe                      10104 RDP-Tcp#0                  3     11,996 K
adb.exe                      30788 RDP-Tcp#0                  3     11,996 K
adb.exe                      34704 RDP-Tcp#0                  3     12,004 K
adb.exe                      23344 RDP-Tcp#0                  3     11,992 K
adb.exe                      17032 RDP-Tcp#0                  3     11,996 K
adb.exe                      13232 RDP-Tcp#0                  3     11,996 K
adb.exe                      18812 RDP-Tcp#0                  3     11,988 K
adb.exe                      34272 RDP-Tcp#0                  3     12,000 K
adb.exe                      31120 RDP-Tcp#0                  3     11,996 K
adb.exe                      27704 RDP-Tcp#0                  3     11,996 K
adb.exe                      35464 RDP-Tcp#0                  3     12,000 K
svchost.exe                   6376 Services                   0      8,448 K
conhost.exe                  32636 RDP-Tcp#0                  3      8,676 K
powershell.exe               23588 RDP-Tcp#0                  3     92,252 K
conhost.exe                  12580 RDP-Tcp#0                  3      8,676 K
powershell.exe               22144 RDP-Tcp#0                  3     92,388 K
conhost.exe                  32484 RDP-Tcp#0                  3      8,676 K
powershell.exe               24440 RDP-Tcp#0                  3     96,140 K
chrome.exe                   38500 RDP-Tcp#1                  2   1,85,180 K
svchost.exe                  22876 Services                   0     11,032 K
csrss.exe                    16220 RDP-Tcp#2               1763      8,360 K
winlogon.exe                 23980 RDP-Tcp#2               1763     12,780 K
WUDFHost.exe                 11328 Services                   0     47,484 K
fontdrvhost.exe              29572 RDP-Tcp#2               1763      5,920 K
LogonUI.exe                  34648 RDP-Tcp#2               1763   1,06,508 K
dwm.exe                      11144 RDP-Tcp#2               1763   1,00,980 K
ctfmon.exe                   24496 RDP-Tcp#2               1763     18,492 K
conhost.exe                  34240 RDP-Tcp#0                  3      8,664 K
powershell.exe               25292 RDP-Tcp#0                  3     93,208 K
cmd.exe                      10252 RDP-Tcp#0                  3      5,280 K
adb.exe                      30928 RDP-Tcp#0                  3     12,368 K
conhost.exe                  18360 RDP-Tcp#0                  3      8,656 K
powershell.exe               22180 RDP-Tcp#0                  3     92,392 K
adb.exe                      32900 RDP-Tcp#0                  3     16,824 K
cmd.exe                      14252 RDP-Tcp#0                  3      5,244 K
tasklist.exe                 24564 RDP-Tcp#0                  3     11,764 K
WmiPrvSE.exe                 18204 Services                   0     14,432 K
WerFault.exe                 37636 Services                   0      9,348 K
